Stamm,Art,prot,FimH-Variante,measure 1,measure 1_2,measure 2,measure 2_2,measure 3,measure 3_2,Median (without negativ)
91,Schwein Kommensale,Bo1,1,11269,11677,11898,10918,7284,6843,10927
5547,HFEC,Bo1,1,3655,5480,1114,1352,2110,2744,2373
5682,Mensch ETEC,Bo1,1,98,108,81,89,61,56,31
5689,Mensch ETEC,Bo1,1,158,108,101,94,64,49,44
5690,Mensch ETEC,Bo1,1,128,106,106,69,17555,17124,63
5691,Mensch ETEC,Bo1,1,458,488,224,242,210,212,66
5998,Schwein EPEC,Bo1,1,1488,2273,153,217,25400,24919,1827
6586,Rind Kommensale,Bo1,1,15747,17436,20892,18237,18735,20141,18455
6595,Rind Kommensale,Bo1,1,108,94,39,79,29206,30168,47
7501,Rind EPEC,Bo1,1,30224,29749,14994,14187,21338,19733,20536
7503,Rind EPEC,Bo1,1,16755,16302,8284,8267,9825,10370,10098
7506,Rind EPEC,Bo1,1,29479,27094,26524,29865,19819,20629,26778
7507,Rind EPEC,Bo1,1,28092,25692,28632,30061,29897,30423,29233
7509,Rind EPEC,Bo1,1,24449,26911,29613,29665,20949,20889,25649
7514,Rind EPEC,Bo1,1,10126,1149,13825,13721,15042,14628,13606
7516,Rind EPEC,Bo1,1,5575,6185,10581,10870,9669,9755,9545
7528,Rind EPEC,Bo1,1,12186,11899,13037,13357,9939,9402,11876
7551,Schwein ETEC,Bo1,1,93,104,69,64,22702,22118,45
122,Schwein Kommensale,Bo1,2,1297,303,173,208,138,163,24
136,Schwein Kommensale,Bo1,2,28741,31600,23148,23616,18412,19985,23215
4297,Schwein Kommensale,Bo1,2,24461,17364,13565,15061,14051,15059,15060
4318,Schwein Kommensale,Bo1,2,26814,29645,30463,31778,27795,42976,30023
4320,Schwein Kommensale,Bo1,2,21820,27371,35062,45123,33709,32125,32886
4401,Schwein Kommensale,Bo1,2,37207,43131,47117,39476,33828,24027,38310
4445,Schwein Kommensale,Bo1,2,67947,74069,11688,11140,8861,9293,11388
4732,Schwein Kommensale,Bo1,2,59793,63271,18945,19604,16528,16953,19248
5200,Mensch ETEC,Bo1,2,26817,26334,16302,14296,23757,21538,22648
5201,Mensch ETEC,Bo1,2,55937,75135,22536,20235,22197,19398,22367
5204,Mensch ETEC,Bo1,2,49539,29618,21276,17486,24659,19921,22968
5205,Mensch ETEC,Bo1,2,24788,23901,35330,33174,92962,96548,34221
5263,Mensch EPEC,Bo1,2,35154,35471,108687,110961,60058,64797,62396
5268,Mensch EPEC,Bo1,2,31594,35322,94556,112702,56636,58909,57741
5281,Mensch EPEC,Bo1,2,15260,20032,8906,8337,8470,7650,8657
5282,Mensch EPEC,Bo1,2,24858,27342,2208,4589,16565,16919,16716
5285,Mensch EPEC,Bo1,2,23799,26813,5523,4614,8376,8738,8531
5289,Mensch EPEC,Bo1,2,58630,66316,26760,26351,13060,13850,26529
5527,HFEC,Bo1,2,27535,27547,14663,23441,32660,29296,27541
5529,HFEC,Bo1,2,25531,26472,28154,29152,20688,19049,26002
5536,HFEC,Bo1,2,38426,51206,37742,37740,28989,28964,37710
5543,HFEC,Bo1,2,12779,20728,13530,14915,14016,14942,14299
5631,Mensch EPEC,Bo1,2,19009,20273,21682,22370,19770,21228,20584
5637,Mensch ETEC,Bo1,2,36645,60883,106178,89992,37764,21585,49292
5638,Mensch ETEC,Bo1,2,296,310,153,229,180,130,38
5652,Mensch EPEC,Bo1,2,511,276,125,203,227,175,48
5655,Mensch EPEC,Bo1,2,249,309,163,222,168,163,28
5680,Mensch ETEC,Bo1,2,92381,94114,17048,18306,64046,63073,63393
5692,Mensch ETEC,Bo1,2,47,431,212,178,190,188,22
5981,Schwein EPEC,Bo1,2,31634,31790,18502,18997,19973,23408,21691
5982,Schwein EPEC,Bo1,2,32907,34988,21791,15425,25333,29717,27525
5983,Schwein EPEC,Bo1,2,66588,24709,14006,15569,16247,19229,17738
5984,Schwein EPEC,Bo1,2,28126,29888,14635,14085,24766,27503,26135
5985,Schwein EPEC,Bo1,2,5337,10835,3063,9986,1713,10269,7630
5988,Schwein EPEC,Bo1,2,36400,39077,29831,30004,35178,38089,35758
5989,Schwein EPEC,Bo1,2,188,13,99,190,173,193,14
5990,Schwein EPEC,Bo1,2,48048,102171,54305,20984,21826,20235,34770
5991,Schwein EPEC,Bo1,2,33747,67277,24491,24954,21211,21677,24556
5992,Schwein EPEC,Bo1,2,131,6,222,202,178,180,12
5996,Schwein EPEC,Bo1,2,16,60,178,140,34,31,21
5997,Schwein EPEC,Bo1,2,64090,58319,25234,26118,18274,19138,25650
5999,Schwein EPEC,Bo1,2,61468,62954,29038,30108,19936,20765,29547
6573,Rind Kommensale,Bo1,2,6699,5334,3982,4606,4903,4567,4755
6576,Rind Kommensale,Bo1,2,64299,74645,44224,40377,54320,44831,49576
6583,Rind Kommensale,Bo1,2,4827,4666,10060,10060,15366,15785,10029
6587,Rind Kommensale,Bo1,2,24220,24178,47352,39790,34299,36412,35324
6588,Rind Kommensale,Bo1,2,18897,17883,22881,22088,15049,15702,18223
6589,Rind Kommensale,Bo1,2,13922,12226,24166,23534,15525,16535,15863
6590,Rind Kommensale,Bo1,2,25829,24028,17258,18385,21890,22616,22086
6592,Rind Kommensale,Bo1,2,20479,19150,22274,21627,21513,20527,20853
6593,Rind Kommensale,Bo1,2,13174,13093,19106,19168,15552,15839,15529
6594,Rind Kommensale,Bo1,2,62759,62095,23376,24179,9496,9882,23751
6597,Rind Kommensale,Bo1,2,97670,93052,14684,15413,12000,12265,15022
