Stamm,Art,prot,FimH-Variante,measure 1,measure 1_2,measure 2,measure 2_2,measure 3,measure 3_2,Median (without negativ)
91,Schwein Kommensale,Bo1,1,11269,11677,11898,10918,7284,6843,10927
5547,HFEC,Bo1,1,3655,5480,1114,1352,2110,2744,2373
5682,Mensch ETEC,Bo1,1,98,108,81,89,61,56,31
5689,Mensch ETEC,Bo1,1,158,108,101,94,64,49,44
5690,Mensch ETEC,Bo1,1,128,106,106,69,17555,17124,63
5691,Mensch ETEC,Bo1,1,458,488,224,242,210,212,66
5998,Schwein EPEC,Bo1,1,1488,2273,153,217,25400,24919,1827
6586,Rind Kommensale,Bo1,1,15747,17436,20892,18237,18735,20141,18455
6595,Rind Kommensale,Bo1,1,108,94,39,79,29206,30168,47
7501,Rind EPEC,Bo1,1,30224,29749,14994,14187,21338,19733,20536
7503,Rind EPEC,Bo1,1,16755,16302,8284,8267,9825,10370,10098
7506,Rind EPEC,Bo1,1,29479,27094,26524,29865,19819,20629,26778
7507,Rind EPEC,Bo1,1,28092,25692,28632,30061,29897,30423,29233
7509,Rind EPEC,Bo1,1,24449,26911,29613,29665,20949,20889,25649
7514,Rind EPEC,Bo1,1,10126,1149,13825,13721,15042,14628,13606
7516,Rind EPEC,Bo1,1,5575,6185,10581,10870,9669,9755,9545
7528,Rind EPEC,Bo1,1,12186,11899,13037,13357,9939,9402,11876
7551,Schwein ETEC,Bo1,1,93,104,69,64,22702,22118,45
122,Schwein Kommensale,Bo1,2,1297,303,173,208,138,163,24
136,Schwein Kommensale,Bo1,2,28741,31600,23148,23616,18412,19985,23215
91,Schwein Kommensale,Bo2,1,13793,14702,10259,11190,9585,7051,10593
5547,HFEC,Bo2,1,3797,3393,1146,819,2548,4802,2918
5682,Mensch ETEC,Bo2,1,49,59,103,101,113,160,50
5689,Mensch ETEC,Bo2,1,64,44,123,133,140,160,76
5690,Mensch ETEC,Bo2,1,41,44,96,106,13209,13783,49
5691,Mensch ETEC,Bo2,1,115,118,346,371,234,213,92
5998,Schwein EPEC,Bo2,1,955,1025,135,99,13632,14274,938
6586,Rind Kommensale,Bo2,1,20426,24872,19324,24384,21836,17593,21105
6595,Rind Kommensale,Bo2,1,46,49,98,79,21288,19254,36
7501,Rind EPEC,Bo2,1,64381,29648,17749,18331,16243,17008,18028
7503,Rind EPEC,Bo2,1,44936,35915,25135,24984,7095,7603,25048
7506,Rind EPEC,Bo2,1,28617,27901,29058,31069,18489,19802,28233
7507,Rind EPEC,Bo2,1,29221,30326,30148,29801,25925,24513,29485
7509,Rind EPEC,Bo2,1,26321,26329,30418,31168,19800,20032,26299
7514,Rind EPEC,Bo2,1,18571,18819,13275,12438,8963,8629,12725
7516,Rind EPEC,Bo2,1,8763,7673,11527,10705,8901,9498,9068
7528,Rind EPEC,Bo2,1,19096,18558,13724,13300,8133,8220,13381
7551,Schwein ETEC,Bo2,1,39,29,86,94,17573,17984,38
122,Schwein Kommensale,Bo2,2,96,104,212,262,138,138,7
136,Schwein Kommensale,Bo2,2,29667,31569,21818,23371,14905,14940,22463
91,Schwein Kommensale,Ho2,1,16450,17701,13969,12191,11363,11447,12959
5547,HFEC,Ho2,1,1478,1174,1050,525,2244,2058,1299
5682,Mensch ETEC,Ho2,1,54,39,56,84,21,46,23
5689,Mensch ETEC,Ho2,1,56,71,81,94,61,46,39
5690,Mensch ETEC,Ho2,1,34,36,86,113,9369,9753,72
5691,Mensch ETEC,Ho2,1,485,532,232,272,175,168,131
5998,Schwein EPEC,Ho2,1,876,990,440,170,12106,8463,906
6586,Rind Kommensale,Ho2,1,31857,29491,19554,20386,22705,21846,22237
6595,Rind Kommensale,Ho2,1,34,59,64,69,14318,11346,39
7501,Rind EPEC,Ho2,1,25105,26536,27383,26098,18757,18715,25600
7503,Rind EPEC,Ho2,1,18091,17216,28044,30228,23748,21397,22571
7506,Rind EPEC,Ho2,1,25672,33046,22353,21134,26507,16590,23974
7507,Rind EPEC,Ho2,1,25511,24689,22819,22688,24892,24612,24612
7509,Rind EPEC,Ho2,1,25313,26296,24629,24312,18551,18226,24432
7514,Rind EPEC,Ho2,1,21483,20701,15101,14301,17117,16595,16735
7516,Rind EPEC,Ho2,1,48692,40601,12322,12230,19358,13015,16065
7528,Rind EPEC,Ho2,1,29311,18180,13213,13803,19891,20755,18914
7551,Schwein ETEC,Ho2,1,34,36,84,56,12567,31047,43
122,Schwein Kommensale,Ho2,2,26,542,247,259,185,158,95
136,Schwein Kommensale,Ho2,2,37779,84138,21689,21605,24547,25273,24789
91,Schwein Kommensale,Ho4,1,11690,13089,13790,13406,8951,9359,12196
5547,HFEC,Ho4,1,6877,6504,1478,1253,5884,4418,5100
5682,Mensch ETEC,Ho4,1,130,94,19,36,54,64,8
5689,Mensch ETEC,Ho4,1,101,108,24,21,59,46,1
5690,Mensch ETEC,Ho4,1,86,86,24,19,12126,12205,35
5691,Mensch ETEC,Ho4,1,99,99,284,351,237,219,35
5998,Schwein EPEC,Ho4,1,1629,911,36,89,12577,15492,1219
6586,Rind Kommensale,Ho4,1,23933,24226,22680,22656,25432,28384,24065
6595,Rind Kommensale,Ho4,1,108,84,26,31,15123,14145,45
7501,Rind EPEC,Ho4,1,33766,33497,12929,12839,17008,17595,17302
7503,Rind EPEC,Ho4,1,20471,17915,15205,21343,7413,12446,16560
7506,Rind EPEC,Ho4,1,36075,19165,35881,35460,20337,21521,28476
7507,Rind EPEC,Ho4,1,21548,33073,34857,36525,29529,29100,31286
