Stamm;Art;Protein;FimH-Variante;measure 1;measure 1_2;measure 2;measure 2_2;measure 3;measure 3_2;measure 4;measure 4_2;measure 5;measure 5_2;Median
91;Schwein Kommensale;Bo1;1;11269;11677;11898;10918;7284;6843;22856;24914;13201;14050;11788
4136;Schwein Kommensale;Bo1;4;19992;22162;20216;20550;33021;34289;30408;53663;22437;22147;22300
4310;Schwein Kommensale;Bo1;6;11;56;21;9;6;16;163;1730;539;1513;39
4315;Schwein Kommensale;Bo1;29;9580;9260;10335;9832;7420;7579;11700;15876;3076;3113;9420
4444;Schwein Kommensale;Bo1;;21062;17974;7395;6298;3368;1951;20535;20171;8612;9493;9053
4445;Schwein Kommensale;Bo1;2;67947;74069;11688;11140;8861;9293;22955;24709;13426;14449;13938
4732;Schwein Kommensale;Bo1;2;59793;63271;18945;19604;16528;16953;31257;33593;18494;19874;19739
5282;Mensch EPEC;Bo1;2;24858;27342;2208;4589;16565;16919;8700;27438;6934;9099;12832
5540;HFEC;Bo1;8;11158;15445;17402;11727;8572;9436;18546;19807;16413;18155;15929
5543;HFEC;Bo1;2;12779;20728;13530;14915;14016;14942;66075;62773;16565;17531;15754
5551;HFEC;Bo1;;3640;3566;1292;1914;2697;2360;1268;1847;2058;1800;1986
5554;HFEC;Bo1;8;17419;17582;20929;29925;23470;22284;22516;23141;14915;14868;21607
5631;Mensch EPEC;Bo1;2;19009;20273;21682;22370;19770;21228;64361;72549;26351;26514;22026
5651;Mensch EPEC;Bo1;8;20533;17263;17229;17929;17912;17835;24981;27215;17647;18172;17921
5695;Mensch ETEC;Bo1;9;27801;30282;12084;12528;15220;15235;20178;21226;13419;12220;15228
5696;Mensch ETEC;Bo1;9;17539;22417;10501;10306;11819;12976;1156;1431;2630;3157;10404
5981;Schwein EPEC;Bo1;2;31634;31790;18502;18997;19973;23408;63368;56071;23515;24245;23880
5984;Schwein EPEC;Bo1;2;28126;29888;14635;14085;24766;27503;53948;53482;18799;20327;26135
5990;Schwein EPEC;Bo1;2;48048;102171;54305;20984;21826;20235;77216;76594;21984;22259;35154
5995;Schwein EPEC;Bo1;7;34445;24488;26789;27480;27889;27210;61478;67519;22393;22992;27345
5999;Schwein EPEC;Bo1;2;61468;62954;29038;30108;19936;20765;75759;78073;19098;20394;29573
6586;Rind Kommensale;Bo1;1;15747;17436;20892;18237;18735;20141;27840;16919;12985;12557;17837
6592;Rind Kommensale;Bo1;2;20479;19150;22274;21627;21513;20527;22237;22355;14992;15938;21020
6604;Rind Kommensale;Bo1;2;104868;108438;26631;26229;19478;20032;27688;29078;23329;21233;26430
7503;Rind EPEC;Bo1;1;16755;16302;8284;8267;9825;10370;18566;19473;12985;12379;12682
7504;Rind ETEC;Bo1;9;2290;39;8661;8775;361;3853;7474;4970;12867;11529;6222
7505;Rind EPEC;Bo1;2;18873;19745;22673;22177;17795;17377;22430;26777;18197;18578;19309
7507;Rind EPEC;Bo1;1;28092;25692;28632;30061;29897;30423;28251;28307;15217;14625;28279
7508;Rind ETEC;Bo1;9;34470;33340;16218;17880;21018;16473;49463;36293;17132;16996;19449
7511;Rind ETEC;Bo1;9;15002;505;1991;1297;5802;2338;19656;21320;4210;4019;4115
7514;Rind EPEC;Bo1;1;10126;1149;13825;13721;15042;14628;9369;21003;17454;16894;14227
7515;Rind ETEC;Bo1;9;2803;5255;3442;3677;5877;6531;6132;6048;10991;12134;5963
7516;Rind EPEC;Bo1;1;5575;6185;10581;10870;9669;9755;16238;16300;14888;15093;10726
7517;Rind ETEC;Bo1;9;35258;31357;34691;43716;26026;26948;58491;54488;17280;17734;33024
7522;Rind ETEC;Bo1;9;23388;23468;15765;15856;23007;26120;28023;33150;15351;15170;23198
7524;Rind EPEC;Bo1;2;107261;151311;23490;22388;15453;16892;30569;55526;22006;24907;24199
7525;Rind ETEC;Bo1;9;16609;19688;20941;18940;26452;28136;22323;21833;5124;5899;20315
7526;Rind ETEC;Bo1;9;11147;5376;9045;8755;11799;8470;16654;15477;849;1089;8900
7528;Rind EPEC;Bo1;1;12186;11899;13037;13357;9939;9402;12158;21387;10127;9726;12029
7533;Rind EPEC;Bo1;2;28789;95701;19765;20236;19693;20225;17229;16599;26913;26690;20231
7534;Rind ETEC;Bo1;9;24986;53397;18717;20015;15054;11564;31671;29343;13630;13615;19366
7542;Schwein ETEC;Bo1;;41;39;14;21;31;29;19;4;0;0;20
7554;Schwein ETEC;Bo1;2;14819;14502;15358;15903;16163;16584;56294;50974;13025;12468;15631
7555;Rind EPEC;Bo1;15;31049;23292;24228;21940;19879;19663;37058;32573;19074;16097;22616
7551;Schwein ETEC;Bo1;1;93;104;69;64;22702;22118;11;24;2;0;67
91;Schwein Kommensale;Bo2;1;13793;14702;10259;11190;9585;7051;27067;30492;16911;19785;14248
4136;Schwein Kommensale;Bo2;4;13037;16272;20718;21345;23351;26688;43563;46433;27963;28803;25020
4310;Schwein Kommensale;Bo2;6;731;532;39;26;16;26;26;279;611;941;159
4315;Schwein Kommensale;Bo2;29;15543;10679;12109;10952;8287;10511;680;20404;4002;5293;10595
4444;Schwein Kommensale;Bo2;;8066;12411;7618;9550;733;737;11487;20168;12426;13872;10519
4445;Schwein Kommensale;Bo2;2;20444;19928;10828;9996;9850;9503;11844;35092;26381;25714;15886
4732;Schwein Kommensale;Bo2;2;16892;17454;17729;17095;17471;17806;906;3573;26440;29162;17463
5282;Mensch EPEC;Bo2;2;8302;7970;7262;5872;15346;15527;11261;13298;9862;10383;10123
5540;HFEC;Bo2;8;10551;12961;25246;24340;11774;8446;17887;22613;30227;30242;20250
5543;HFEC;Bo2;2;19822;22212;11876;12443;13406;12458;58885;60873;30049;29130;21017
5551;HFEC;Bo2;;1656;2290;2026;1939;2744;2446;2813;1567;1589;1958;1992
